Timestamp,Voltage (V),Current (A),Power (W),Frequency,Import Energy (kWh),Export Energy (kWh),Total Energy (kWh)
2024-12-16 17:00:00,230.272415,0.970481,96.778137,50.000000,5.539000,0.008000,5.547000
2024-12-16 17:00:07,230.766861,0.820565,119.730087,50.000000,5.540000,0.008000,5.548000
2024-12-16 17:00:14,230.359192,0.458024,174.509445,50.000000,5.540000,0.008000,5.548000
2024-12-16 17:00:22,230.961945,0.888441,174.742569,50.000000,5.540000,0.008000,5.548000
2024-12-16 17:00:29,230.433350,1.070050,315.466644,50.000000,5.541000,0.008000,5.549000
2024-12-16 17:00:37,230.769699,0.348135,134.654449,50.000000,5.541000,0.008000,5.549000
2024-12-16 17:00:44,231.203674,1.142569,203.499496,50.000000,5.541000,0.008000,5.549000
2024-12-16 17:00:51,231.198166,1.443118,375.877594,50.000000,5.542000,0.008000,5.550000
2024-12-16 17:00:59,231.319687,0.894783,98.253235,50.000000,5.542000,0.008000,5.550000
2024-12-16 17:01:06,230.893463,1.117153,227.666031,50.000000,5.542000,0.008000,5.550000
2024-12-16 17:01:14,231.586426,0.329747,48.835003,50.000000,5.542000,0.008000,5.550000
2024-12-16 17:01:21,231.210373,0.358063,138.070908,50.048878,5.543000,0.008000,5.551000
2024-12-16 17:01:29,231.399811,0.697744,227.273621,50.000000,5.543000,0.008000,5.551000
2024-12-16 17:01:36,231.372559,1.153843,203.181747,50.000000,5.543000,0.008000,5.551000
2024-12-16 17:01:44,230.685349,1.120216,129.966156,50.048878,5.544000,0.008000,5.552000
2024-12-16 17:01:51,230.903793,0.730487,134.294388,50.000000,5.544000,0.008000,5.552000
2024-12-16 17:01:59,230.780167,0.786466,152.883270,50.000000,5.544000,0.008000,5.552000
2024-12-16 17:02:06,231.372482,0.858400,99.574020,50.000000,5.545000,0.008000,5.553000
2024-12-16 17:02:14,231.355850,0.885692,270.009949,50.000000,5.545000,0.008000,5.553000
2024-12-16 17:02:21,231.077103,0.675749,187.241898,50.000000,5.545000,0.008000,5.553000
2024-12-16 17:02:29,230.471619,0.875124,166.665222,50.000000,5.546000,0.008000,5.554000
2024-12-16 17:02:36,230.214111,0.736979,138.098282,50.000000,5.546000,0.008000,5.554000
2024-12-16 17:02:43,230.801575,0.875651,102.856903,50.000000,5.546000,0.008000,5.554000
2024-12-16 17:02:51,230.426849,0.725510,143.767197,49.951218,5.547000,0.008000,5.555000
2024-12-16 17:02:58,230.641891,0.663366,184.807739,50.000000,5.547000,0.008000,5.555000
2024-12-16 17:03:06,230.869247,0.345039,119.876930,49.951218,5.547000,0.008000,5.555000
2024-12-16 17:03:13,231.194565,0.815325,263.222687,50.000000,5.548000,0.008000,5.556000
2024-12-16 17:03:21,230.875610,1.002777,194.996536,50.000000,5.548000,0.008000,5.556000
2024-12-16 17:03:28,231.013535,0.650773,77.906357,50.000000,5.548000,0.008000,5.556000
2024-12-16 17:03:36,230.945511,1.353943,81.315338,50.000000,5.548000,0.008000,5.557000
2024-12-16 17:03:43,230.459091,1.078460,127.337868,50.000000,5.549000,0.008000,5.557000
