freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.549e+04,4.859e+04,2.560e+05,3.201e+05
1.6,7.531e+04,2.318e+05,1.221e+06,1.528e+06
3.1,8.506e+04,2.418e+05,1.379e+06,1.706e+06
4.7,7.931e+04,2.265e+05,1.268e+06,1.574e+06
6.2,7.707e+04,2.257e+05,1.197e+06,1.500e+06
7.8,7.591e+04,2.331e+05,1.204e+06,1.513e+06
9.3,7.460e+04,2.666e+05,1.320e+06,1.661e+06
10.9,6.917e+04,2.697e+05,1.310e+06,1.649e+06
12.4,6.180e+04,2.454e+05,1.151e+06,1.458e+06
14.0,5.697e+04,2.190e+05,1.027e+06,1.303e+06
15.5,6.110e+04,2.276e+05,1.129e+06,1.417e+06
17.1,6.227e+04,2.381e+05,1.197e+06,1.498e+06
18.6,6.230e+04,2.663e+05,1.261e+06,1.590e+06
20.2,6.936e+04,2.976e+05,1.416e+06,1.783e+06
21.7,7.498e+04,3.085e+05,1.508e+06,1.892e+06
23.3,7.266e+04,3.031e+05,1.454e+06,1.830e+06
24.8,6.666e+04,3.309e+05,1.409e+06,1.807e+06
26.4,6.476e+04,3.465e+05,1.370e+06,1.781e+06
27.9,7.085e+04,4.077e+05,1.532e+06,2.010e+06
29.5,7.513e+04,4.584e+05,1.549e+06,2.083e+06
31.0,7.871e+04,4.537e+05,1.300e+06,1.832e+06
32.6,9.970e+04,5.476e+05,1.325e+06,1.972e+06
34.1,1.167e+05,7.382e+05,1.429e+06,2.284e+06
35.7,1.141e+05,7.940e+05,1.390e+06,2.298e+06
37.2,9.530e+04,6.968e+05,1.245e+06,2.037e+06
38.8,9.423e+04,7.037e+05,1.357e+06,2.155e+06
40.4,8.331e+04,6.932e+05,1.333e+06,2.109e+06
41.9,6.621e+04,5.743e+05,1.207e+06,1.847e+06
43.5,6.306e+04,4.562e+05,1.307e+06,1.826e+06
45.0,5.485e+04,4.188e+05,1.261e+06,1.735e+06
46.6,4.722e+04,4.031e+05,1.182e+06,1.632e+06
48.1,4.734e+04,3.671e+05,1.227e+06,1.642e+06
49.7,5.008e+04,3.609e+05,1.232e+06,1.643e+06
51.2,4.597e+04,3.419e+05,1.121e+06,1.509e+06
52.8,3.893e+04,3.581e+05,1.192e+06,1.589e+06
54.3,4.080e+04,3.446e+05,1.205e+06,1.590e+06
55.9,4.472e+04,3.326e+05,1.112e+06,1.490e+06
