freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.020e+03,1.016e+04,6.025e+04,7.744e+04
1.6,4.027e+04,4.988e+04,3.121e+05,4.022e+05
3.1,2.665e+04,5.520e+04,3.516e+05,4.334e+05
4.7,2.237e+04,5.759e+04,3.773e+05,4.573e+05
6.2,1.988e+04,5.729e+04,3.607e+05,4.379e+05
7.8,1.973e+04,5.863e+04,3.740e+05,4.524e+05
9.3,2.275e+04,6.903e+04,4.485e+05,5.402e+05
10.9,2.077e+04,6.782e+04,4.143e+05,5.029e+05
12.4,2.135e+04,6.576e+04,3.998e+05,4.869e+05
14.0,2.593e+04,8.155e+04,5.026e+05,6.101e+05
15.5,2.844e+04,8.473e+04,4.913e+05,6.045e+05
17.1,3.086e+04,8.447e+04,4.942e+05,6.095e+05
18.6,3.531e+04,9.047e+04,5.183e+05,6.441e+05
20.2,4.177e+04,1.006e+05,5.604e+05,7.028e+05
21.7,5.071e+04,1.251e+05,6.807e+05,8.565e+05
23.3,5.448e+04,1.155e+05,6.128e+05,7.828e+05
24.8,6.283e+04,1.120e+05,6.052e+05,7.800e+05
26.4,7.998e+04,1.343e+05,7.179e+05,9.322e+05
27.9,1.117e+05,1.336e+05,7.258e+05,9.711e+05
29.5,1.549e+05,1.420e+05,7.562e+05,1.053e+06
31.0,2.012e+05,1.646e+05,7.806e+05,1.146e+06
32.6,2.650e+05,2.129e+05,8.562e+05,1.334e+06
34.1,2.304e+05,2.187e+05,8.051e+05,1.254e+06
35.7,1.594e+05,2.169e+05,8.222e+05,1.198e+06
37.2,1.337e+05,2.203e+05,9.573e+05,1.311e+06
38.8,1.088e+05,1.749e+05,9.260e+05,1.210e+06
40.3,8.562e+04,1.618e+05,8.457e+05,1.093e+06
41.9,7.039e+04,1.730e+05,8.986e+05,1.142e+06
43.4,6.340e+04,1.746e+05,9.723e+05,1.210e+06
45.0,5.439e+04,1.524e+05,8.109e+05,1.018e+06
46.6,4.783e+04,1.751e+05,8.731e+05,1.096e+06
48.1,4.597e+04,1.914e+05,9.989e+05,1.236e+06
49.7,3.522e+04,1.611e+05,8.304e+05,1.027e+06
51.2,3.085e+04,1.737e+05,8.834e+05,1.088e+06
52.8,2.753e+04,1.769e+05,8.901e+05,1.095e+06
54.3,2.077e+04,1.611e+05,7.820e+05,9.639e+05
55.9,1.890e+04,1.502e+05,6.977e+05,8.668e+05
57.4,2.002e+04,1.616e+05,7.356e+05,9.172e+05
59.0,1.660e+04,1.525e+05,6.750e+05,8.440e+05
60.5,1.489e+04,1.391e+05,6.145e+05,7.684e+05
62.1,1.821e+04,1.649e+05,7.649e+05,9.480e+05
63.6,1.795e+04,1.971e+05,9.140e+05,1.129e+06
65.2,1.881e+04,2.264e+05,9.878e+05,1.233e+06
66.7,1.849e+04,2.603e+05,1.058e+06,1.336e+06
68.3,2.000e+04,3.335e+05,1.339e+06,1.692e+06
69.8,2.163e+04,4.009e+05,1.554e+06,1.977e+06
71.4,2.561e+04,5.103e+05,1.966e+06,2.502e+06
72.9,2.895e+04,6.480e+05,2.434e+06,3.111e+06
74.5,3.224e+04,6.944e+05,2.590e+06,3.317e+06
76.0,3.898e+04,8.168e+05,3.138e+06,3.994e+06
77.6,4.624e+04,9.721e+05,3.853e+06,4.871e+06
79.1,5.023e+04,1.051e+06,4.208e+06,5.310e+06
80.7,5.444e+04,1.085e+06,4.141e+06,5.281e+06
82.2,5.713e+04,1.093e+06,3.999e+06,5.148e+06
83.8,6.592e+04,1.056e+06,3.834e+06,4.956e+06
85.3,8.987e+04,1.047e+06,3.638e+06,4.775e+06
86.9,9.632e+04,9.369e+05,3.184e+06,4.217e+06
88.5,1.091e+05,7.905e+05,2.627e+06,3.526e+06
90.0,1.152e+05,6.604e+05,2.044e+06,2.820e+06
91.6,1.174e+05,5.899e+05,1.705e+06,2.412e+06
93.1,1.420e+05,5.820e+05,1.494e+06,2.218e+06
94.7,1.639e+05,5.843e+05,1.339e+06,2.088e+06
96.2,1.854e+05,5.553e+05,1.190e+06,1.930e+06
97.8,2.381e+05,6.129e+05,1.165e+06,2.016e+06
99.3,2.326e+05,5.746e+05,1.014e+06,1.821e+06
100.9,2.102e+05,5.320e+05,8.777e+05,1.620e+06
102.4,2.251e+05,4.640e+05,6.134e+05,1.303e+06
104.0,1.855e+05,3.585e+05,4.870e+05,1.031e+06
105.5,1.617e+05,3.192e+05,4.703e+05,9.512e+05
107.1,1.580e+05,3.289e+05,5.448e+05,1.032e+06
108.6,1.240e+05,2.762e+05,5.614e+05,9.616e+05
110.2,1.071e+05,2.283e+05,6.146e+05,9.500e+05
111.7,9.444e+04,1.857e+05,6.637e+05,9.438e+05
113.3,6.705e+04,1.160e+05,5.746e+05,7.576e+05
114.8,5.642e+04,7.639e+04,5.007e+05,6.335e+05
116.4,7.084e+04,8.344e+04,4.709e+05,6.252e+05
117.9,1.102e+05,1.194e+05,5.234e+05,7.530e+05
119.5,1.732e+05,1.799e+05,6.925e+05,1.046e+06
121.0,1.893e+05,1.945e+05,6.703e+05,1.054e+06
122.6,1.648e+05,1.645e+05,5.423e+05,8.716e+05
124.1,1.636e+05,1.627e+05,5.229e+05,8.491e+05
125.7,1.283e+05,1.469e+05,4.476e+05,7.228e+05
127.2,1.077e+05,1.344e+05,3.968e+05,6.389e+05
128.8,1.041e+05,1.368e+05,3.959e+05,6.368e+05
130.3,8.837e+04,1.125e+05,3.234e+05,5.243e+05
131.9,8.396e+04,9.389e+04,2.674e+05,4.452e+05
133.5,7.349e+04,8.815e+04,2.568e+05,4.184e+05
135.0,3.066e+04,6.130e+04,1.662e+05,2.581e+05
136.6,9.977e+03,4.520e+04,9.944e+04,1.546e+05
138.1,6.993e+03,3.943e+04,6.727e+04,1.137e+05
139.7,6.239e+03,3.929e+04,6.228e+04,1.078e+05
141.2,5.682e+03,3.824e+04,6.357e+04,1.075e+05
142.8,6.167e+03,4.216e+04,6.813e+04,1.165e+05
144.3,6.286e+03,4.604e+04,7.017e+04,1.225e+05
145.9,6.443e+03,5.061e+04,7.090e+04,1.279e+05
147.4,7.445e+03,5.269e+04,6.648e+04,1.266e+05
149.0,8.692e+03,5.537e+04,6.180e+04,1.259e+05
150.5,1.063e+04,6.905e+04,7.223e+04,1.519e+05
152.1,1.207e+04,7.777e+04,7.367e+04,1.635e+05
153.6,1.314e+04,8.292e+04,7.804e+04,1.741e+05
155.2,1.270e+04,8.572e+04,9.053e+04,1.890e+05
156.7,1.353e+04,8.684e+04,9.046e+04,1.908e+05
158.3,1.540e+04,9.809e+04,9.089e+04,2.044e+05
159.8,1.570e+04,1.042e+05,9.634e+04,2.163e+05
161.4,1.542e+04,9.946e+04,9.800e+04,2.129e+05
162.9,1.606e+04,9.951e+04,9.309e+04,2.087e+05
164.5,1.852e+04,1.057e+05,8.405e+04,2.082e+05
166.0,2.061e+04,1.067e+05,8.671e+04,2.140e+05
167.6,1.832e+04,8.441e+04,8.953e+04,1.923e+05
169.1,1.829e+04,8.373e+04,8.830e+04,1.903e+05
170.7,2.086e+04,9.387e+04,8.425e+04,1.990e+05
172.2,2.169e+04,9.815e+04,7.714e+04,1.970e+05
173.8,2.088e+04,9.025e+04,7.407e+04,1.852e+05
175.4,2.347e+04,1.031e+05,8.462e+04,2.112e+05
176.9,2.840e+04,1.237e+05,8.626e+04,2.384e+05
178.5,2.966e+04,1.317e+05,8.134e+04,2.427e+05
180.0,2.567e+04,1.118e+05,7.442e+04,2.119e+05
181.6,2.652e+04,1.197e+05,7.339e+04,2.196e+05
183.1,2.727e+04,1.198e+05,6.947e+04,2.166e+05
184.7,2.781e+04,1.251e+05,7.093e+04,2.239e+05
186.2,2.799e+04,1.204e+05,6.656e+04,2.150e+05
187.8,2.804e+04,1.219e+05,7.270e+04,2.226e+05
189.3,2.709e+04,1.333e+05,8.756e+04,2.480e+05
190.9,2.525e+04,1.391e+05,9.007e+04,2.544e+05
192.4,2.634e+04,1.452e+05,9.168e+04,2.632e+05
194.0,2.761e+04,1.554e+05,8.839e+04,2.714e+05
195.5,3.196e+04,1.750e+05,8.937e+04,2.963e+05
197.1,3.373e+04,1.571e+05,9.509e+04,2.859e+05
198.6,1.545e+04,6.639e+04,4.678e+04,1.286e+05
